feature,kept_features_count,ic,rmse,mae,rank_ic,hit_ratio,delta_ic,delta_rmse
log_return_1d,21,0.027305887586942836,0.018750889010013153,0.01374669026675875,0.009592315820448845,0.5051546391752577,0.07483837487813108,0.000600955413392782
log_return_5d,21,0.10394757570224578,0.01824347150682866,0.013518458534854607,0.06583152257395918,0.5265095729013255,-0.0018033132371718524,9.353791020828839e-05
log_return_20d,21,0.039314305995643936,0.01859326088088207,0.013670090344066828,-0.00609315303048752,0.508100147275405,0.06282995646942999,0.0004433272842616978
ema_return_5,21,0.09527575939576456,0.018253733347333677,0.013360780295620532,0.035762390819513185,0.5235640648011782,0.006868503069309362,0.00010379975071330566
ema_return_20,21,0.05384192999457235,0.01866834671963067,0.013714070724373226,0.01649635434008268,0.5103092783505154,0.04830233247050157,0.0005184131230102987
realized_vol_5d,21,0.060408739284218915,0.018767913625014235,0.013723030900429149,0.019401497869084284,0.5147275405007363,0.04173552318085501,0.0006179800283938643
realized_vol_20d,21,0.02599116356512222,0.01877318164807749,0.013832191023096468,0.023690935004000217,0.49410898379970547,0.0761530988999517,0.0006232480514571197
vol_ratio_5_20,21,0.11234109749443931,0.01814220536876308,0.013297988828495423,0.0406900905759882,0.5095729013254786,-0.010196835029365386,-7.728227857290576e-06
atr_14_norm,21,0.04289888634847341,0.018406040294846552,0.013488125689183787,0.01947734438806849,0.4955817378497791,0.059245376116600516,0.00025610669822618073
gap_log,21,0.09641630927144045,0.018082658344161,0.013375781206088488,0.014414384404209632,0.5272459499263623,0.005727953193633478,-6.727525245937144e-05
intraday_log,21,0.08045465933843082,0.01813115884323019,0.013359620008274236,0.004452541410799614,0.5058910162002945,0.0216896031266431,-1.8774753390182752e-05
hl_range_log,21,0.10175928411222959,0.017946209990576674,0.01315387065028221,0.020725615942200383,0.5139911634756995,0.00038497835284433124,-0.00020372360604369727
volume_z_20,21,0.09955040256671237,0.017859709621404974,0.01298877854823849,0.05511089814392885,0.5154639175257731,0.0025938598983615557,-0.0002902239752153972
day_of_week,21,0.05466399596080062,0.018598898083268783,0.013541098619714323,0.014581968842785224,0.524300441826215,0.047480266504273304,0.00044896448664841215
zscore_price_vs_ma20,21,0.07333088454464844,0.018942112177713202,0.014111703238951574,0.020866331383669147,0.4845360824742268,0.028813377920425487,0.0007921785810928311
clv,21,0.04384330328547928,0.018387428384995158,0.013422035422200319,0.016131041395022614,0.524300441826215,0.058300959179594644,0.00023749478837478688
body_to_range,21,0.03532135840839238,0.01863597084371363,0.013555012900008394,0.01577399399075778,0.5110456553755522,0.06682290405668154,0.00048603724709325724
vol_ratio_5_60,21,0.09979928681171871,0.01806236111426898,0.01330969497408179,0.03871837576689679,0.49705449189985274,0.0023449756533552163,-8.75724823513925e-05
rolling_skew_60,21,0.10037572515966836,0.018539919939423246,0.013618607202861116,0.04241786172440962,0.5184094256259205,0.0017685373054055625,0.0003899863428028748
rolling_kurtosis_60,21,0.07129034313709293,0.01833220499748045,0.013322008149324343,0.04895431607212139,0.5184094256259205,0.030853919327980997,0.00018227140086007898
vix_level,21,0.0006259606139944455,0.018679260951354526,0.013674219042753899,0.007219995405006187,0.5154639175257731,0.10151830185107948,0.0005293273547341548
vix_change_1d,21,0.058867924407855175,0.018329312602593587,0.013398129758774373,0.00983913924344808,0.5125184094256259,0.04327633805721875,0.00017937900597321532
